,valence,,arousal,,likability,,,Chose pre-processing for the ling features: ZN+L2,,,,,,,,
,val,test,val,test,val,test,,,,,,,,,,
"('LIWC', 'bert')",48.34,48.15,45.85,38.86,33.33,33.33,,,,,,,,,,
"('LIWC', 'summary')",48.2,49.11,42.76,34.8,35.8,39.88,,No-norm,Valence,Arousal,Like,,ZN,Valence,Arousal,Like
"('LIWC', 'vad')",48.07,49.34,42.79,33.58,35,35.12,,VAD,37.47/33.44,51.4/56.97,42.58/37.08,,VAD_ZN,41.73/36.06,52.1/55.09,39.47/39.48
"('LIWC', 'stats')",47.76,48.96,42.74,39.13,37.36,36.27,,polarity_stats,47.36/49.63,46.21/43.89,37.6/31.74,,polarity_stats_sc,46.34/42.51,47.56/43.63,36.84/32.3
"('bert', 'summary')",52.46,41.25,44.48,43.18,36.79,37.97,,TEPS,50.55/38.07,58.92/53.71,41.53/37.22,,TEPS_sc,45.88/37.02,56.64/54.98,39.77/33.44
"('bert', 'vad')",45.95,42.97,44.43,40.57,37.6,37.3,,liwc,50.0/41.73,48.55/48.8,35.22/35.36,,liwc_sc,44.77/46.27,46.76/49.08,33.81/38.25
"('bert', 'stats')",44.08,42.51,50.47,48.83,39.08,37.67,,tfidf,39.83/38.27,38.79/45.54,34.87/36.6,,tfidf_sc,37.65/33.22,35.02/33.24,34.06/32.38
"('summary', 'vad')",47.65,48.29,52.89,48.03,37.88,39.94,,bert,48.9/45.26,43.3/38.9,37.14/34.36,,bert_sc,51.42/38.53,43.64/37.07,38.75/36.92
"('summary', 'stats')",50.06,46.74,57.41,55.52,41.58,33.25,,,,,,,,,,
"('vad', 'stats')",45.18,34.5,55.24,52.7,41.61,34.54,,MinMax,Valence,Arousal,Like,,ZN+L2,Valence,Arousal,Like
"('LIWC', 'bert', 'summary')",48.34,48.15,44.31,38.86,34.39,37.28,,VAD_minmax,42.56/33.69,52.6/56.88,39.29/41.59,,VAD_z+l2,42.67/31.93,53.26/54.74,40.03/37.08
"('LIWC', 'bert', 'vad')",48.34,48.15,43.34,47.64,33.33,33.33,,polarity_stats_minmax,47.45/46.06,48.35/43.86,37.46/31.74,,polarity_stats_z+l2,47.49/45.94,48.46/44.61,36.47/36.22
