,valence,arousal,likeability
"('LIWC', 'polarity')",51.04/41.68,50.07/41.7,37.07/34.56
"('LIWC', 'vad')",47.05/40.92,49.1/50.27,38.38/37.35
"('LIWC', 'TEPS')",43.44/46.57,48.5/43.05,34.56/38.47
"('LIWC', 'audio_pca(L1)')",47.04/38.84,64.26/54.44,44.51/39.4
"('LIWC', 'video_pca(L1)')",53.84/52.38,54.53/53.97,53.72/55.05
"('LIWC', 'bert')",48.24/42.3,42.84/41.31,38.13/37.29
"('polarity', 'vad')",48.02/45.68,50.62/50.48,37.93/41.5
"('polarity', 'TEPS')",47.68/43.69,56.46/52.64,38.12/34.76
"('polarity', 'audio_pca(L1)')",51.37/36.38,67.35/58.18,52.42/42.24
"('polarity', 'video_pca(L1)')",61.16/50.9,53.81/46.14,53.27/54.18
"('polarity', 'bert')",53.18/42.22,43.42/40.74,38.97/35.41
"('vad', 'TEPS')",42.16/38.17,53.39/57.94,40.04/35.33
"('vad', 'audio_pca(L1)')",44.23/37.12,68.63/60.78,52.86/38.91
"('vad', 'video_pca(L1)')",54.11/54.95,53.68/56.73,52.84/52.09
"('vad', 'bert')",50.46/37.34,43.52/41.17,37.53/35.31
"('TEPS', 'audio_pca(L1)')",44.23/33.87,67.7/65.47,53.46/38.51
"('TEPS', 'video_pca(L1)')",55.95/50.07,55.71/51.31,53.52/57.56
"('TEPS', 'bert')",51.27/38.0,44.14/40.57,38.9/36.34
"('audio_pca(L1)', 'video_pca(L1)')",55.15/46.37,65.02/67.99,54.8/47.68
"('audio_pca(L1)', 'bert')",50.08/37.26,56.04/46.51,39.31/35.86
"('video_pca(L1)', 'bert')",55.62/52.67,54.61/51.55,46.03/52.27
"('LIWC', 'polarity', 'vad')",47.71/42.19,52.24/47.61,37.22/37.33
"('LIWC', 'polarity', 'TEPS')",49.89/41.24,49.07/47.31,37.62/35.81
"('LIWC', 'polarity', 'audio_pca(L1)')",46.42/46.96,62.44/57.83,46.45/44.11
"('LIWC', 'polarity', 'video_pca(L1)')",57.27/50.28,55.9/49.69,52.18/52.19
"('LIWC', 'polarity', 'bert')",53.65/46.75,44.16/41.08,38.98/35.74
"('LIWC', 'vad', 'TEPS')",47.96/41.74,51.52/49.99,37.79/38.01
"('LIWC', 'vad', 'audio_pca(L1)')",45.55/47.7,65.4/60.39,43.42/44.55
"('LIWC', 'vad', 'video_pca(L1)')",55.34/58.14,56.85/57.59,53.17/53.02
"('LIWC', 'vad', 'bert')",48.89/42.6,42.78/41.73,37.73/37.08
"('LIWC', 'TEPS', 'audio_pca(L1)')",45.79/41.89,65.47/61.18,45.25/40.0
"('LIWC', 'TEPS', 'video_pca(L1)')",53.86/52.08,56.1/52.93,53.87/55.21
"('LIWC', 'TEPS', 'bert')",48.45/42.45,44.16/43.77,37.96/36.7
"('LIWC', 'audio_pca(L1)', 'video_pca(L1)')",54.43/51.1,66.23/63.01,51.58/53.64
"('LIWC', 'audio_pca(L1)', 'bert')",47.13/41.78,55.45/50.11,38.81/36.28
"('LIWC', 'video_pca(L1)', 'bert')",53.87/45.48,55.07/52.43,45.53/53.66
"('polarity', 'vad', 'TEPS')",46.71/39.05,53.64/48.43,39.13/39.98
"('polarity', 'vad', 'audio_pca(L1)')",49.69/36.81,65.72/63.78,50.99/41.06
"('polarity', 'vad', 'video_pca(L1)')",59.15/64.52,53.63/44.0,53.97/51.71
"('polarity', 'vad', 'bert')",53.18/42.67,44.57/39.35,37.97/36.34
"('polarity', 'TEPS', 'audio_pca(L1)')",52.48/40.01,65.02/59.7,51.94/39.53
"('polarity', 'TEPS', 'video_pca(L1)')",61.76/58.16,52.79/46.29,53.63/55.21
"('polarity', 'TEPS', 'bert')",52.82/42.22,44.64/40.96,38.57/35.74
"('polarity', 'audio_pca(L1)', 'video_pca(L1)')",59.27/45.63,65.23/63.15,53.73/45.09
"('polarity', 'audio_pca(L1)', 'bert')",51.23/42.08,55.26/52.6,38.83/35.98
"('polarity', 'video_pca(L1)', 'bert')",57.06/48.3,53.19/52.03,44.97/48.76
"('vad', 'TEPS', 'audio_pca(L1)')",46.21/43.93,68.56/64.23,51.93/39.84
"('vad', 'TEPS', 'video_pca(L1)')",55.25/55.77,54.27/56.42,53.66/54.63
"('vad', 'TEPS', 'bert')",50.24/38.0,42.91/42.39,37.53/35.29
