id,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
J4GQm9j0JZ0.003.mp4,50,4.99,8.08,56.63,25.77,16.67,16.0,92.0,66.0,22.0,16.0,12.0,0.0,0.0,4.0,0.0,6.0,6.0,10.0,16.0,6.0,14.0,2.0,26.0,6.0,4.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,12.0,0.0,4.0,2.0,2.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,4.0,0.0,14.0,10.0,2.0,12.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,24.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,8.0,0.0,0.0
zEyRyTnIw5I.005.mp4,42,14.58,59.4,37.24,99.0,21.0,7.14,95.24,66.67,26.19,19.05,11.9,0.0,0.0,0.0,7.14,7.14,4.76,11.9,11.9,7.14,7.14,0.0,28.57,0.0,0.0,2.38,0.0,0.0,7.14,7.14,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,7.14,2.38,0.0,2.38,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,4.76,0.0,19.05,7.14,2.38,7.14,4.76,0.0,2.38,2.38,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nskJh7v6v1U.004.mp4,53,9.12,1.92,98.39,99.0,17.67,9.43,94.34,52.83,26.42,18.87,16.98,0.0,0.0,0.0,1.89,7.55,3.77,3.77,1.89,9.43,9.43,0.0,18.87,3.77,0.0,1.89,3.77,5.66,7.55,7.55,0.0,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,20.75,3.77,3.77,0.0,5.66,0.0,7.55,3.77,1.89,0.0,1.89,0.0,0.0,0.0,0.0,0.0,3.77,0.0,1.89,0.0,1.89,0.0,13.21,3.77,1.89,5.66,0.0,1.89,3.77,7.55,0.0,0.0,3.77,0.0,0.0,1.89,0.0,0.0,1.89,0.0,0.0,18.87,7.55,9.43,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0
6wHQsN5g2RM.000.mp4,37,33.21,5.26,71.04,99.0,6.17,18.92,86.49,48.65,21.62,18.92,16.22,0.0,2.7,0.0,0.0,2.7,8.11,8.11,13.51,2.7,2.7,2.7,24.32,8.11,2.7,2.7,0.0,8.11,8.11,8.11,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,18.92,5.41,0.0,0.0,13.51,0.0,2.7,0.0,0.0,0.0,0.0,13.51,0.0,0.0,0.0,13.51,2.7,0.0,0.0,0.0,2.7,0.0,8.11,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.43,13.51,5.41,0.0,0.0,2.7,0.0,0.0,0.0,10.81,0.0,0.0
dQOeQYWIgm8.000.mp4,36,86.43,91.75,99.0,98.27,9.0,19.44,94.44,47.22,13.89,11.11,8.33,0.0,2.78,0.0,0.0,2.78,8.33,16.67,11.11,5.56,0.0,0.0,25.0,0.0,0.0,0.0,5.56,0.0,5.56,5.56,0.0,0.0,0.0,0.0,19.44,0.0,2.78,0.0,2.78,13.89,8.33,0.0,2.78,8.33,2.78,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,2.78,2.78,0.0,0.0,19.44,11.11,22.22,8.33,8.33,5.56,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,11.11,2.78,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0
eHcRre1YsNA.000.mp4,27,2.64,64.46,79.42,25.77,4.5,3.7,92.59,48.15,33.33,22.22,14.81,3.7,3.7,0.0,0.0,11.11,0.0,3.7,11.11,3.7,0.0,3.7,37.04,0.0,0.0,7.41,7.41,3.7,0.0,0.0,0.0,0.0,0.0,0.0,14.81,0.0,3.7,0.0,3.7,18.52,7.41,0.0,3.7,3.7,3.7,0.0,11.11,0.0,3.7,7.41,0.0,0.0,0.0,0.0,0.0,7.41,3.7,3.7,0.0,0.0,0.0,0.0,22.22,0.0,7.41,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.04,18.52,3.7,0.0,0.0,3.7,0.0,0.0,0.0,11.11,0.0,0.0
vZpneJlniAE.005.mp4,63,1.71,1.0,93.64,7.46,10.5,6.35,90.48,66.67,30.16,11.11,11.11,0.0,0.0,0.0,0.0,19.05,1.59,9.52,14.29,7.94,7.94,1.59,25.4,3.17,3.17,0.0,3.17,0.0,1.59,0.0,1.59,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,22.22,3.17,3.17,1.59,3.17,0.0,11.11,3.17,1.59,0.0,1.59,1.59,1.59,0.0,0.0,0.0,3.17,0.0,0.0,1.59,1.59,0.0,3.17,19.05,4.76,6.35,1.59,1.59,3.17,1.59,0.0,0.0,0.0,3.17,0.0,3.17,1.59,0.0,0.0,1.59,0.0,25.4,6.35,6.35,1.59,0.0,0.0,1.59,1.59,0.0,7.94,0.0,0.0
oANKg9_grdA.004.mp4,54,26.77,42.65,33.94,60.88,13.5,11.11,90.74,59.26,24.07,22.22,14.81,0.0,7.41,0.0,0.0,1.85,3.7,12.96,9.26,3.7,7.41,1.85,22.22,5.56,3.7,0.0,0.0,1.85,1.85,1.85,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,11.11,1.85,0.0,7.41,5.56,0.0,3.7,0.0,0.0,0.0,0.0,12.96,0.0,9.26,0.0,3.7,3.7,0.0,0.0,0.0,3.7,0.0,3.7,14.81,0.0,5.56,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37,11.11,7.41,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0
VuadgOz6T7s.000.mp4,34,51.03,3.89,91.95,1.76,34.0,17.65,94.12,55.88,17.65,14.71,14.71,0.0,0.0,0.0,0.0,2.94,2.94,14.71,8.82,5.88,5.88,0.0,11.76,2.94,0.0,2.94,8.82,0.0,8.82,2.94,5.88,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82,0.0,0.0,0.0,5.88,2.94,2.94,8.82,0.0,8.82,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,2.94,2.94,0.0,11.76,0.0,11.76,0.0,8.82,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.65,8.82,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7nhJXn9PI0I.001.mp4,28,29.3,85.81,1.0,99.0,5.6,17.86,60.71,50.0,17.86,7.14,3.57,0.0,3.57,0.0,0.0,10.71,7.14,3.57,10.71,7.14,3.57,0.0,10.71,7.14,7.14,3.57,10.71,3.57,10.71,10.71,0.0,0.0,0.0,0.0,10.71,0.0,3.57,0.0,3.57,14.29,0.0,0.0,3.57,3.57,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,3.57,0.0,0.0,0.0,0.0,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,25.0,14.29,7.14,0.0,0.0,0.0,3.57,0.0,0.0,0.0,7.14
tEQEKN07KgQ.001.mp4,34,42.68,88.03,66.34,79.41,11.33,20.59,88.24,52.94,20.59,11.76,2.94,2.94,2.94,0.0,2.94,8.82,8.82,8.82,2.94,8.82,8.82,0.0,23.53,11.76,5.88,0.0,0.0,2.94,2.94,2.94,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,8.82,0.0,2.94,0.0,2.94,2.94,2.94,2.94,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,2.94,0.0,0.0,2.94,0.0,0.0,17.65,0.0,17.65,5.88,5.88,5.88,5.88,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.59,5.88,5.88,0.0,0.0,0.0,0.0,2.94,0.0,5.88,0.0,0.0
I5x9T9ftW18.005.mp4,8,38.6,89.42,74.76,99.0,4.0,0.0,100.0,50.0,25.0,25.0,12.5,12.5,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,25.0,12.5,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,0.0,0.0,12.5,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dh6iOU2RtTA.003.mp4,67,8.36,94.96,95.74,53.85,13.4,10.45,98.51,67.16,28.36,20.9,7.46,2.99,5.97,0.0,4.48,7.46,2.99,13.43,11.94,7.46,7.46,1.49,22.39,1.49,2.99,2.99,0.0,1.49,1.49,1.49,0.0,0.0,0.0,0.0,20.9,0.0,0.0,0.0,0.0,22.39,4.48,10.45,1.49,1.49,1.49,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97,2.99,1.49,1.49,0.0,0.0,7.46,13.43,1.49,16.42,5.97,2.99,7.46,4.48,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,1.49,0.0,32.84,5.97,13.43,0.0,0.0,1.49,0.0,0.0,5.97,5.97,0.0,0.0
gsleSGEZHAs.004.mp4,49,20.17,94.86,89.63,25.77,7.0,14.29,95.92,59.18,24.49,18.37,8.16,10.2,0.0,0.0,0.0,6.12,8.16,10.2,16.33,2.04,2.04,6.12,20.41,4.08,2.04,0.0,4.08,2.04,8.16,4.08,4.08,0.0,4.08,0.0,22.45,2.04,2.04,0.0,0.0,8.16,4.08,0.0,2.04,0.0,2.04,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.41,18.37,0.0,0.0,2.04,0.0,6.12,14.29,0.0,16.33,2.04,2.04,12.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.65,18.37,4.08,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0
vhugKRUnd-c.001.mp4,15,1.0,50.0,43.37,25.77,7.5,20.0,93.33,60.0,33.33,6.67,0.0,0.0,6.67,0.0,0.0,26.67,0.0,0.0,26.67,6.67,0.0,6.67,53.33,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,6.67,0.0,13.33,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.0,0.0,6.67,6.67,0.0,6.67,40.0,0.0,6.67,0.0,0.0,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,13.33,13.33,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.0,0.0
kn6I8LdQFN0.004.mp4,24,88.46,50.0,91.31,25.77,24.0,16.67,87.5,50.0,12.5,8.33,8.33,0.0,0.0,0.0,0.0,4.17,12.5,16.67,12.5,4.17,4.17,0.0,16.67,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,16.67,12.5,4.17,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,4.17,8.33,4.17,0.0,4.17,0.0,0.0,0.0,12.5,4.17,8.33,4.17,4.17,0.0,4.17,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83,4.17,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0
