id,nmbr_word,nmbr_sent
J4GQm9j0JZ0.003.mp4,62,3
zEyRyTnIw5I.005.mp4,43,2
nskJh7v6v1U.004.mp4,60,3
6wHQsN5g2RM.000.mp4,49,6
dQOeQYWIgm8.000.mp4,44,4
eHcRre1YsNA.000.mp4,37,6
vZpneJlniAE.005.mp4,76,6
oANKg9_grdA.004.mp4,63,4
VuadgOz6T7s.000.mp4,38,1
7nhJXn9PI0I.001.mp4,33,4
tEQEKN07KgQ.001.mp4,40,3
I5x9T9ftW18.005.mp4,10,2
dh6iOU2RtTA.003.mp4,89,5
gsleSGEZHAs.004.mp4,63,7
vhugKRUnd-c.001.mp4,21,2
kn6I8LdQFN0.004.mp4,29,1
Wd0V4MNvqcg.000.mp4,54,3
w_ExyXsnw2A.000.mp4,57,3
DnTtbAR_Qyw.004.mp4,54,5
rIHcq2E67Nc.005.mp4,48,3
De4i7-FX9Og.004.mp4,60,9
cA43Gfcg0QA.000.mp4,29,3
pZxqWp0e-Ik.000.mp4,31,2
D3AomvNhR1k.003.mp4,74,6
Fi1ILrwQpSY.003.mp4,58,3
Xfmu-7JuDGg.002.mp4,54,3
YzNbGMNr3z0.001.mp4,38,2
aFVFvJNnFt0.000.mp4,57,1
cgT-3CHBmKs.000.mp4,42,3
P_wDFLJnW-o.004.mp4,51,7
t0_DAgeU4nM.002.mp4,41,5
TTuysItuSdo.004.mp4,44,3
nUbhRInpVbA.004.mp4,50,3
kL-CeaXG9jM.004.mp4,44,5
Znixev2a1AI.000.mp4,58,2
zNHM8iNyTO4.005.mp4,31,2
LWylAwr9kJI.002.mp4,44,1
0n2vWTs6XwA.001.mp4,48,6
FoWuHvikyqU.004.mp4,32,1
6CRet5sD6xI.003.mp4,52,4
7s3itKIXww0.002.mp4,51,4
X7S71Som15M.002.mp4,66,7
RbX4q4KceVk.004.mp4,52,5
ySEeioc339E.004.mp4,59,5
54TGLGvIm_8.003.mp4,65,4
cLaZxEf1nE4.001.mp4,34,4
On2c_8sU8Vw.002.mp4,45,3
kDJigDGDJTo.003.mp4,77,5
1hpZ2ecWqtI.002.mp4,51,2
9yZEb6bdxNY.000.mp4,68,6
f0LnGz5Z6kA.002.mp4,69,2
ASDpn9yOYAo.002.mp4,55,3
--Ymqszjv54.001.mp4,43,5
Q43qO4HC6mA.000.mp4,37,4
HH03EXo0TB0.004.mp4,42,2
8PXQ_5tUv74.001.mp4,55,6
eFzN_frNW8g.002.mp4,49,2
nR0h3WFbPfA.004.mp4,50,1
p6UMx8dwHZQ.000.mp4,37,3
jq1dLOVUQJA.000.mp4,70,6
w989xx44UQI.003.mp4,67,2
6TkMavTyimI.005.mp4,52,1
0hWbtuRVUgM.001.mp4,75,3
ax8wm9K41og.000.mp4,54,4
eXtskPoi58A.000.mp4,78,4
7wsksuXYoMY.001.mp4,51,4
-9BZ8A9U7TE.004.mp4,54,4
alucqviYJFE.003.mp4,58,3
ZO5JoyVTat8.005.mp4,53,3
5f6s8cwA7WQ.005.mp4,73,3
59Smv7wl--w.005.mp4,62,4
9o10YrQykMk.000.mp4,61,3
Fz1BcPpjNXY.001.mp4,54,5
KLY518hfGhU.001.mp4,29,2
yOzHZOg95Ug.005.mp4,27,1
nOFHZ_s7Et4.001.mp4,43,6
U22Jy0m5xSQ.005.mp4,64,6
YGrCXe2-fVk.004.mp4,46,1
T4eZ81aJwJI.003.mp4,41,3
3JzvXA-Zfbs.002.mp4,44,3
cFGjJg-2zOk.002.mp4,50,5
117jrwvl2Nc.000.mp4,67,4
F0VbEO_0Ybc.000.mp4,53,8
41NNb7cucVo.002.mp4,52,4
Ay7bZ7Sgx9Q.001.mp4,45,2
Hklc55y7vUI.000.mp4,58,6
yuE25dFTn2o.000.mp4,61,6
YzcZY1mUZfc.001.mp4,50,7
za14O68VN3E.001.mp4,41,5
IXVf5VWxOAg.002.mp4,22,3
rvB9DYAKHpk.001.mp4,41,4
hIFNZ_ycngg.002.mp4,58,2
TNtcyfM9jak.003.mp4,23,6
PRplbrM70sg.001.mp4,60,3
AVLEr0sYFhs.000.mp4,7,1
